# Meteoric Engine mods/存档/容器 路径与格式基线 —— 自动生成，请勿手改
# generator: tools/contract/gen_path_format.py
# schema: 1
# columns: verdict<TAB>kind<TAB>base<TAB>raw_token<TAB>source_location<TAB>purpose_or_reason
# counts: rows=164 contract=76 excluded=88 structural=16 unclassified=0 checklist_covered=17/17
# checklist_missing: (none)
# 口径: 扫描 source/**/*.hx 中带引号的候选 token（含扩展名/json|txt|zip|cnz|log|dat、保留目录名、以及 /meoptions 这类无扩展名文件）；每个候选必须归入 contract 或 exclude，出现 unclassified 即判 FAIL。
# 不变量：contract 行的 base 名与所属路径/格式语义只增不减；删除或改名 = 破坏 mod/存档/容器兼容。
# 已知边界：① 未知扩展名的文件形态 token 会被判 unclassified（必须显式归类）；
#           ② **无扩展名**的裸名（如 meoptions）在语法上与动画/资源名不可区分 → 必须人工登记（KNOWN_BARE），检测不到新增；
#           ③ 资源/二进制扩展名按 ASSET_EXT 集合豁免（非逐个登记）。
contract	format	.cnz	.cnz	source/cne/CneZipStore.hx:32	CNE mod 打包扩展名（CneZipStore.hx:32）
contract	format	.zip	.zip	source/backend/ModInstaller.hx:243	mod 打包扩展名（ModInstaller.hx:243 / CneZipStore.hx:32）
contract	format	.zip	.zip	source/cne/CneZipStore.hx:32	mod 打包扩展名（ModInstaller.hx:243 / CneZipStore.hx:32）
contract	module	ContainerInfo	ContainerInfo	source/backend/ContainerInfo.hx:1	容器模块（§5 容器行）
contract	module	ContainerLauncher	ContainerLauncher	source/backend/ContainerLauncher.hx:1	容器模块（§5 容器行）
contract	module	ContainerManifest	ContainerManifest	source/backend/ContainerManifest.hx:1	容器模块（§5 容器行）
contract	module	ContainerManifestData	ContainerManifestData	source/backend/ContainerManifestData.hx:1	容器模块（§5 容器行）
contract	module	ContainerManifestParser	ContainerManifestParser	source/backend/ContainerManifestParser.hx:1	容器模块（§5 容器行）
contract	module	ContainerProcess	ContainerProcess	source/backend/ContainerProcess.hx:1	容器模块（§5 容器行）
contract	module	ContainerResourceSpec	ContainerResourceSpec	source/backend/ContainerResourceSpec.hx:1	容器模块（§5 容器行）
contract	module	ContainerSession	ContainerSession	source/backend/ContainerSession.hx:1	容器模块（§5 容器行）
contract	module	ContainerStore	ContainerStore	source/backend/ContainerStore.hx:1	容器模块（§5 容器行）
contract	module	ContainersMenuState	ContainersMenuState	source/states/ContainersMenuState.hx:1	容器菜单入口（§5 容器行）
contract	hook	Main.hx	Container	source/Main.hx:436	容器每帧钩子/会话驱动（§5 容器行）
contract	hook	Main.hx	Container	source/Main.hx:62	容器每帧钩子/会话驱动（§5 容器行）
